Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2019-04-05,"['INTC', 'FB', 'AVGO', 'AEP', 'CTAS', 'XEL', 'CHTR', 'ADSK', 'PCAR', 'SWKS', 'NXPI', 'CMCSA', 'PAYX', 'MNST', 'TXN', 'CERN']",12.82,16.24,0
2019-04-06,"['PCAR', 'COST', 'INTC', 'NTES', 'CTAS', 'AEP', 'ADSK', 'CDNS', 'XEL', 'SWKS', 'HON', 'MNST', 'CMCSA', 'PAYX', 'CERN', 'TXN']",18.39,16.19,1
2019-04-07,"['ADSK', 'AEP', 'FB', 'INTC', 'SWKS', 'CTAS', 'XEL', 'CERN', 'CMCSA', 'NTES', 'CDNS', 'MNST', 'HON', 'PAYX', 'PCAR', 'TXN']",15.22,18.69,0
2019-04-10,"['ADSK', 'CTAS', 'WDAY', 'SWKS', 'INCY', 'CDNS', 'AEP', 'INTC', 'XEL', 'CERN', 'CMCSA', 'PCAR', 'HON', 'PAYX', 'MNST', 'TXN']",20.86,17.89,1
2019-04-11,"['AVGO', 'CDW', 'AEP', 'INTC', 'INCY', 'NXPI', 'CDNS', 'XEL', 'SWKS', 'CERN', 'CMCSA', 'PCAR', 'MNST', 'HON', 'PAYX', 'TXN']",18.03,16.22,1
2019-04-12,"['CHTR', 'AEP', 'GOOG', 'INTC', 'CTAS', 'NXPI', 'XEL', 'CMCSA', 'INCY', 'CDNS', 'SWKS', 'CERN', 'HON', 'MNST', 'PAYX', 'TXN']",16.61,16.56,1
2019-04-13,"['ADSK', 'INCY', 'AEP', 'CMCSA', 'INTC', 'XEL', 'CDNS', 'CERN', 'NTES', 'SWKS', 'CTAS', 'MNST', 'HON', 'PCAR', 'PAYX', 'TXN']",17.04,15.79,1
2019-04-14,"['NXPI', 'CHTR', 'AEP', 'CDNS', 'INTC', 'NTES', 'XEL', 'SPLK', 'SWKS', 'PCAR', 'CMCSA', 'CERN', 'MNST', 'HON', 'PAYX', 'TXN']",13.89,16.31,0
2019-04-17,"['GOOG', 'XEL', 'AEP', 'NTES', 'INTC', 'PCAR', 'CDNS', 'CMCSA', 'SPLK', 'CERN', 'SWKS', 'CTAS', 'MNST', 'HON', 'PAYX', 'TXN']",15.79,15.91,0
2019-04-18,"['CTAS', 'GOOG', 'INTC', 'NVDA', 'XEL', 'AEP', 'NXPI', 'CERN', 'NTES', 'SWKS', 'CHTR', 'PCAR', 'HON', 'MNST', 'PAYX', 'TXN']",8.75,14.1,0
2019-04-19,"['SIRI', 'CMCSA', 'INTC', 'CTAS', 'ADSK', 'XEL', 'AEP', 'PCAR', 'HON', 'CERN', 'NTES', 'NXPI', 'SWKS', 'MNST', 'PAYX', 'TXN']",12.75,14.03,0
2019-04-20,"['CDW', 'AVGO', 'INTC', 'ADSK', 'CTAS', 'XEL', 'AEP', 'CMCSA', 'SWKS', 'CERN', 'CDNS', 'HON', 'NTES', 'MNST', 'PAYX', 'TXN']",23.29,14.95,1
2019-04-21,"['CTAS', 'INTC', 'CDNS', 'AVGO', 'HON', 'XEL', 'MRVL', 'CHTR', 'AEP', 'SWKS', 'NXPI', 'NTES', 'CERN', 'MNST', 'PAYX', 'TXN']",18.89,16.53,1
2019-04-24,"['CTAS', 'PCAR', 'CHTR', 'SWKS', 'MRVL', 'XEL', 'CDNS', 'AEP', 'HON', 'CMCSA', 'NXPI', 'MNST', 'CERN', 'NTES', 'PAYX', 'TXN']",19.14,18.34,1
2019-04-25,"['FB', 'SWKS', 'CDW', 'CHTR', 'XEL', 'PCAR', 'INTC', 'CMCSA', 'AEP', 'HON', 'NXPI', 'CERN', 'MNST', 'NTES', 'PAYX', 'TXN']",16.1,20.14,0
2019-04-26,"['CDNS', 'FB', 'ADSK', 'XEL', 'PCAR', 'HON', 'INTC', 'AEP', 'NXPI', 'CMCSA', 'CERN', 'CTAS', 'MNST', 'PAYX', 'TXN', 'NTES']",19.94,20.43,0
2019-04-27,"['NXPI', 'INTC', 'NVDA', 'CTAS', 'SWKS', 'FB', 'HON', 'AEP', 'ADSK', 'PCAR', 'CMCSA', 'CERN', 'MNST', 'PAYX', 'TXN', 'NTES']",14.49,18.41,0
2019-04-28,"['NVDA', 'INTC', 'SWKS', 'AEP', 'HON', 'CTAS', 'ADSK', 'CHTR', 'CERN', 'CMCSA', 'PCAR', 'MNST', 'EBAY', 'NTES', 'PAYX', 'TXN']",15.0,18.35,0
2019-05-01,"['EBAY', 'SWKS', 'HON', 'PCAR', 'TMUS', 'MU', 'GOOG', 'AEP', 'ADSK', 'INTC', 'CMCSA', 'MNST', 'CERN', 'NTES', 'PAYX', 'TXN']",17.09,18.48,0
2019-05-02,"['HON', 'GOOG', 'WDAY', 'NVDA', 'MU', 'AEP', 'ADSK', 'PCAR', 'INTC', 'CMCSA', 'SWKS', 'MNST', 'NTES', 'CERN', 'PAYX', 'TXN']",16.17,17.01,0
2019-05-03,"['PAYX', 'INCY', 'AEP', 'ADSK', 'EBAY', 'NXPI', 'WBA', 'CTAS', 'INTC', 'CMCSA', 'SWKS', 'PCAR', 'CERN', 'MNST', 'NTES', 'TXN']",13.75,17.17,0
2019-05-04,"['MRVL', 'CERN', 'PAYX', 'INCY', 'HON', 'CTAS', 'INTC', 'ADSK', 'WBA', 'CMCSA', 'PCAR', 'SWKS', 'NXPI', 'MNST', 'TXN', 'NTES']",16.44,18.77,0
2019-05-05,"['PAYX', 'FAST', 'SWKS', 'HON', 'WBA', 'INCY', 'CTAS', 'INTC', 'NVDA', 'CMCSA', 'ADSK', 'PCAR', 'CERN', 'MNST', 'NTES', 'TXN']",15.58,16.88,0
